stop_id,stop_name,stop_desc,stop_lat,stop_lon
2000398,KAMPUNG CEMPAKA,JLN PANTAI SEPAT,3.716723560308,103.32361927342
2000109,(M) LORONG CEMPAKA 2,JLN PANTAI SEPAT,3.7202395483102,103.32269445198
2000299,LRG CEMPAKA 1,JLN PANTAI SEPAT,3.723357380584,103.3216353449
2000207,(M) SMK SUNGAI SOI,JLN PANTAI SEPAT,3.7311695783748,103.31639946459
2000481,SIMPANG KEMPADANG,JLN PANTAI SEPAT,3.7338849691388,103.31769056017
2000550,PUSAT TENUN DI RAJA,JLN PANTAI SEPAT,3.7371933401454,103.3169731087
2000197,GIAT MARA,JLN PANTAI SEPAT,3.7427426695818,103.31536917682
2000278,BERKAT HARDWARE,JLN PANTAI SEPAT,3.7461691285186,103.31493053055
2000811,SURAU TANAH RTK,JLN TANJUNG LUMPUR,3.7555505166672,103.31221193833
2000810,TAMAN DESA PUTRA,JLN TANJUNG LUMPUR,3.7560058730093,103.30920437669
2000809,KEMPADANG DAMAI,JLN TANJUNG LUMPUR,3.7556762499993,103.30710753565
2000808,PERUMAHAN RAKYAT PAK MAHAT,JLN TANJUNG LUMPUR,3.7556818423479,103.30533412458
2000818,KEMPADANG DAMAI,JLN TANJUNG LUMPUR,3.7556130018758,103.30713466365
2000817,TAMAN DESA PUTRA,JLN TANJUNG LUMPUR,3.7559425023539,103.30916849048
2000816,SURAU TANAH RTK,JLN TANJUNG LUMPUR,3.7554870936852,103.31214904578
2000311,KAMPUNG PAK MAHAT,JLN TANJUNG LUMPUR,3.7548047450671,103.31468893654
2000248,KAMPUNG SUNGAI DERHAKA,JLN TANJUNG LUMPUR,3.7676126150213,103.31621270568
2000473,BANDAR PUTRA,JLN TANJUNG LUMPUR,3.7737746496162,103.31813633468
2000034,YAYASAN PAHANG,JLN TANJUNG LUMPUR,3.7813605333354,103.32216378568
2000064,MAAHAD TAHFIZ,JLN TANJUNG LUMPUR,3.7826749318466,103.32379068959
2000237,PERAMU MAJU,JLN TANJUNG LUMPUR,3.7863987356589,103.32745652385
2000456,KAMPUNG PERAMU,JLN TANJUNG LUMPUR,3.7887153754448,103.32828930535
2000153,LOT KEDAI TG. LUMPUR,JLN TANJUNG LUMPUR,3.7951388873078,103.33447072045
2000065,PETRONAS TANJUNG LUMPUR,JLN TANJUNG LUMPUR,3.7961807023615,103.33543200034
2000370,GEDUNG TEN TEN,JLN TANJUNG LUMPUR,3.7976756277895,103.33688755806
2000510,RANGKAIAN DELIMA,JLN TELUK SISEK,3.8101716478614,103.33142594995
2000032,RANGKAIAN DELIMA,JLN TELUK SISEK,3.8102163904375,103.33118279052
2000496,GEDUNG TEN TEN,JLN TANJUNG LUMPUR,3.7967974927376,103.33639409626
2000072,LOT KEDAI TG. LUMPUR,JLN TANJUNG LUMPUR,3.7940611784594,103.33365355244
2000103,FURINDO FUNITURE,JLN TANJUNG LUMPUR,3.7934064555476,103.33178227809
2000096,PEJABAT KEMAS,JLN TANJUNG LUMPUR,3.7910150985441,103.32972528911
2000350,PERAMU BARU,JLN TANJUNG LUMPUR,3.7889512966681,103.32870296637
2000451,PERAMU MAJU,JLN TANJUNG LUMPUR,3.7860369967245,103.32744821577
2000171,MAAHAD TAHFIZ,JLN TANJUNG LUMPUR,3.7825664854235,103.32382690757
2000235,YAYASAN PAHANG,JLN TANJUNG LUMPUR,3.7811799001402,103.32228116384
2000414,BANDAR PUTRA,JLN TANJUNG LUMPUR,3.7749333766585,103.31876426516
2000476,ASTANA VILLAGE,JLN TANJUNG LUMPUR,3.7666451025022,103.31625957683
2000462,KEMPADANG FUTSAL,JLN TANJUNG LUMPUR,3.7501297480262,103.31481492414
2000164,BERKAT HARDWARE,JLN PANTAI SEPAT,3.7462417157564,103.31505641932
2000437,GIAT MARA,JLN PANTAI SEPAT,3.7428513417159,103.31544998661
2000423,LRG CEMPAKA 1,JLN PANTAI SEPAT,3.72334854404,103.32174338291
2000089,LRG CEMPAKA 2,JLN PANTAI SEPAT,3.7202216512475,103.32279350503
2000177,KAMPUNG CEMPAKA,JLN PANTAI SEPAT,3.7168231366209,103.32367309566
2000244,KAMPUNG CEMPAKA AMAN,JLN PANTAI SEPAT,3.7154130920231,103.3240268244
2000162,LRG CEMPAKA 5,JLN PANTAI SEPAT,3.7115176493077,103.32514137764
2000293,MABIQ,JLN PANTAI SEPAT,3.7060507077584,103.32731205887
2000399,MASJID PANTAI SEPAT,JLN PANTAI SEPAT,3.7004164237143,103.33665728343
2000174,PANTAI SEPAT 1,JLN PANTAI SEPAT,3.6969020093241,103.338446149
2000352,PANTAI SEPAT 2,JLN PANTAI SEPAT,3.6935048413068,103.34007275003
2000486,THE SADDLE RESORT,JLN PANTAI SEPAT,3.6890506969339,103.3422773915
2000391,MENARA PENYELAMAT,JLN PANTAI SEPAT,3.6872347280416,103.34318990847
2000286,MENARA TM,JLN PANTAI SEPAT,3.6623357967587,103.35128299349
2000250,PADANG BOLA,JLN PANTAI SEPAT,3.6584040088784,103.3523703357
2000045,KLINIK DESA PENOR,JLN PANTAI SEPAT,3.6554023036755,103.35271786392
2000435,KAMPUNG HIJRAH,JLN PANTAI SEPAT,3.6374032116094,103.36091460017
2000063,PLKN,JLN KUANTAN-CHEROK PALOH,3.633909105099,103.36400827411
2000390,PONDOK POLIS CHEROK PALOH,JLN CHEROK PALOH,3.6167581847145,103.37634336627
2000825,KAMPUNG SERANDU,JLN KUALA PAHANG-TANAH PUTIH,3.5967695713124,103.40537047887
2000826,SEKOLAH KEBANGSAAN SERANDU,JLN KUALA PAHANG-TANAH PUTIH,3.5878530170589,103.41071443602
2000827,MASJID AS-SAKIRIN,JLN KUALA PAHANG-TANAH PUTIH,3.5851704510109,103.41263623956
2000828,SIMPANG KAMPUNG SERANDU,JLN KUALA PAHANG-TANAH PUTIH,3.5751003480629,103.42036719885
2000829,SMK INDERA SHAHBANDAR,JLN KUALA PAHANG-TANAH PUTIH,3.5496757450415,103.43435235932
2000900,UNIVERSITI MALAYSIA PAHANG (PEKAN),JLN KUALA PAHANG-TANAH PUTIH,3.5466030267245,103.43559060357
2000837,KAMPUNG BERUAS,JLN KUALA PAHANG-TANAH PUTIH,3.5326529725022,103.44345336651
2000838,SK INDERA SHAHBANDAR,JLN KUALA PAHANG-TANAH PUTIH,3.5294961830208,103.44850785051
2000839,KG. MARHUM,JLN KUALA PAHANG-TANAH PUTIH,3.5327630803486,103.4551897679
2000840,PERKAMPUNGAN NELAYAN,JLN KUALA PAHANG-TANAH PUTIH,3.5334728712355,103.45781673576
2000339,(M) INDERA MAHKOTA 1,JALAN INDERA MAHKOTA 1,3.8226507540185,103.30366430394
2000157,MASJID INDERA MAHKOTA,JLN INDERA MAHKOTA 1,3.8227878437513,103.30439325451
2000090,DEWAN SERBAGUNA,JALAN INDERA MAHKOTA 1,3.8247197239521,103.30272395177
2000482,LOT KEDAI IM 2,JALAN INDERA MAHKOTA 2,3.8188673874455,103.30194322427
2000469,TUNAS MANJA,JALAN INDERA MAHKOTA 2,3.8161000803474,103.29730330669
2000315,INDERA MAHKOTA 2,JALAN INDERA MAHKOTA 2,3.8145110408629,103.29402048998
2000077,KAMPUNG TIRAM,JLN INDERA MAHKOTA 3,3.8135338381954,103.289197044
2000145,KOMPLEKS PENYAYANG,JLN BUKIT SETONGKOL 6,3.8108902908064,103.29221811792
2000117,LOT KEDAI PAYA TIGA,JLN BUKIT SETONGKOL 6,3.8090519340965,103.29543564549
2000091,PERUMAHAN PAYA TIGA,JLN BUKIT SETONGKOL 6,3.8071462436036,103.29662772734
2000080,SURAU BKT SETONGKOL,JLN BUKIT SETONGKOL 12,3.8007514275614,103.30045733109
2000135,CENDERAWASIH,JLN BUKIT SETONGKOL 12,3.7985624748627,103.30017353757
2000355,SURAU BKT SETONGKOL,JLN BUKIT SETONGKOL 12,3.8003168344097,103.30018810802
2000067,SHELL BUKIT SETONGKOL,JLN BUKIT SETONGKOL,3.805267647039,103.30237502258
2000367,TAMAN DAHLIA,JLN BUKIT SETONGKOL,3.8088621681785,103.304636628
2000326,MASJID BUKIT SETONGKOL,JLN BUKIT SETONGKOL,3.8100240350595,103.30684899092
2000226,BKT SETONGKOL 1,JLN BUKIT SETONGKOL,3.8090421437973,103.31336879418
2000163,PETRONAS DARAT MAKBAR,JLN DARAT MAKBAR,3.8087701853139,103.31763656734
2000181,KUANTAN PARADE,JLN PENJARA,3.8042397212113,103.32230870698
2000487,PERKESO,JLN PENJARA,3.8038960341228,103.32228236404
2000275,PETRONAS DARAT MAKBAR,JLN DARAT MAKBAR,3.8085535417308,103.31783504601
2000343,BKT SETONGKOL,JLN BUKIT SETONGKOL,3.8091086801758,103.31501614425
2000243,BKT SETONGKOL 1,JLN BUKIT SETONGKOL,3.8089427419141,103.31340499821
2000356,BKT SETONGKOL JAYA,JLN BUKIT SETONGKOL,3.8088928718177,103.31103740897
2000129,MASJID BUKIT SETONGKOL,JLN BUKIT SETONGKOL,3.8097516811451,103.30630936792
2000499,TAMAN DAHLIA,JLN BUKIT SETONGKOL,3.80840021441,103.30425042172
2000203,SHELL BUKIT SETONGKOL,JLN BUKIT SETONGKOL,3.805141117356,103.30241128044
2000208,PERUMAHAN PAYA TIGA,JALAN BUKIT SETONGKOL 6,3.8071728186873,103.29634859702
2000372,LOT KEDAI PAYA TIGA,JALAN BUKIT SETONGKOL 6,3.8088977939033,103.29522889063
2000052,KOMPLEKS PENYAYANG,JALAN BUKIT SETONGKOL 6,3.8107455870137,103.29220940085
2000044,KAMPUNG TIRAM,JLN INDERA MAHKOTA 3,3.8136328604328,103.28897178437
2000465,INDERA MAHKOTA 2,JLN INDERA MAHKOTA 2,3.8146373544047,103.29387619946
2000427,TUNAS MANJA,JLN INDERA MAHKOTA 2,3.816253469523,103.29713195485
2000093,LOT KEDAI IM 2,JLN INDERA MAHKOTA 2,3.8187764226545,103.30167332314
2000206,PERUMAHAN IM 1,JALAN INDERA MAHKOTA 1,3.8240758358514,103.30179793834
2000527,DEPOT,JLN INDUSTRI SEMAMBU 9,3.8559872267463,103.32394551771
2000557,(M) KOLEJ PSDC,JLN INDUSTRI SEMAMBU 9,3.8572829873826,103.32069283686
2000101,PASARAYA JAYA GADING,JLN SEMAMBU 6,3.8469592924375,103.33162480418
2000638,BAILEYS COURT,JLN HAJI AHMAD,3.8408188710198,103.33153770766
2000640,PERKAMPUNGAN SETALI,JLN HAJI AHMAD,3.8365543931783,103.32889010739
2000642,HOTEL BUMIMAS,JLN HAJI AHMAD,3.8350437477239,103.32865896574
2000643,PETRONAS,JLN HAJI AHMAD,3.8319233193216,103.32836792955
2000645,TADIKA SERI IMAN INTELEK,JLN SEKILAU 4,3.8279638409176,103.32445936347
2000646,PERKAMPUNGAN BUKIT SEKILAU,JLN SEKILAU 1,3.8266776666095,103.32340853031
2000647,MASJID SAIDINA ALI,JLN BUKIT SEKILAU,3.8243974859512,103.32272874902
2000648,SIMPANG BUKIT SEKILAU,JLN BUKIT SEKILAU,3.8232571663799,103.32227182279
2000649,KAMPUS UITM,JLN BUKIT SEKILAU,3.8221992936162,103.32235490455
2000650,KLINIK KESIHATAN BANDAR KUANTAN,JLN BUKIT SEKILAU,3.8199220789428,103.32318758465
2000026,SMK PAYA BESAR,JLN GAMBANG,3.7773290310862,103.27246131404
2000200,DEWAN MAT KILAU,JLN GAMBANG,3.7756838544773,103.26824259681
2000439,MASJID KIPSAS,JLN GAMBANG,3.7735844707037,103.26299857564
2000424,(M) KIPSAS,JLN GAMBANG,3.7698075323941,103.25995440932
2000158,PERKAMPUNGAN RASAU PERDANA,L/RAYA PEKAN,3.76702733385,103.26243546796
2000175,TAMAN INDERAPURA,JLN SERI INDERAPURA,3.7516380334536,103.26318608118
2000030,PERUMAHAN INDERAPURA,JLN SERI INDERAPURA,3.7511268461271,103.26532051454
2000336,PADANG BOLA INDERAPURA,JLN SERI INDERAPURA,3.7505163430549,103.26753615948
2000506,(M) LOT KEDAI INDERAPURA,JLN SERI INDERAPURA,3.7497887770384,103.27000408438
2000218,PERUMAHAN INDERAPURA,JLN SERI INDERAPURA,3.750981857521,103.26516777005
2000141,TAMAN INDERAPURA,JLN SERI INDERAPURA,3.7515113094957,103.26312331896
2000220,SMK MAT KILAU,LALUAN PERSEKUTUAN 3,3.750287,103.261227
2000463,JEJANTAS INDERA SEMPURNA,LALUAN PERSEKUTUAN 3,3.734709,103.267817
